reportyear,race_eth_code,race_eth_name,geoname,county_fips,county_name,region_name,Unemployment,Population,Unemployment_rate
2006-2010,1,AIAN,Alameda,6001,Alameda,Bay Area,253,2152,2.3
2006-2010,3,AfricanAm,Alameda,6001,Alameda,Bay Area,421,2156,19.5
2006-2010,2,Asian,Alameda,6001,Alameda,Bay Area,870,2022,7.3
2006-2010,4,Latino,Alameda,6001,Alameda,Bay Area,339,4653,7.3
2006-2010,7,Multiple,Alameda,6001,Marin,Bay Area,150,1272,11.8
2006-2010,5,NHOPI,Alameda,6001,Alameda,Bay Area,125,3526,10
2006-2010,8,Other,Alameda,6001,Alameda,Bay Area,253,1452,5.2
2006-2010,9,Total,Alameda,6001,Alameda,Bay Area,3210,2014,8.1
2006-2010,6,White,Alameda,6001,Alameda,Bay Area,1320,2000,6.9
2006-2010,1,AIAN,Berkeley,6001,Marin,Bay Area,253,5245,4.3
2006-2010,3,AfricanAm,Berkeley,6001,Alameda,Bay Area,906,5010,18.1
2006-2010,2,Asian,Berkeley,6001,Alameda,Bay Area,704,2015,5.8
2006-2010,4,Latino,Berkeley,6001,Alameda,Bay Area,616,6472,9.5
2006-2010,7,Multiple,Berkeley,6002,Marin,Bay Area,68,1877,3.6
2006-2010,5,NHOPI,Berkeley,6001,Alameda,Bay Area,532,1524,3.5
2006-2010,8,Other,Berkeley,6001,Alameda,Bay Area,425,1458,5.3
2006-2010,9,Total,Berkeley,6001,Alameda,Bay Area,4319,65864,6.6
2006-2010,6,White,Berkeley,6001,Alameda,Bay Area,1935,39864,4.9
2006-2010,1,AIAN,Fremont,6002,Marin,Bay Area,452,1536,4.2
2006-2010,3,AfricanAm,Fremont,6001,Alameda,Bay Area,755,6469,11.7
2006-2010,2,Asian,Fremont,6001,Alameda,Bay Area,4491,79725,5.6
2006-2010,4,Latino,Fremont,6001,Alameda,Bay Area,2515,29395,8.6
2006-2010,7,Multiple,Fremont,6003,santa clara,Bay Area,238,4030,5.9
2006-2010,5,NHOPI,Fremont,6001,Alameda,Bay Area,370,1952,19
2006-2010,8,Other,Fremont,6001,Alameda,Bay Area,37,453,8.2
2006-2010,9,Total,Fremont,6002,Marin,Bay Area,11674,168377,6.9
2006-2010,6,White,Fremont,6001,Alameda,Bay Area,3206,45928,7
2006-2010,1,AIAN,Hayward,6001,Alameda,Bay Area,53,484,11
2006-2010,3,AfricanAm,Hayward,6001,Alameda,Bay Area,3304,21224,15.6
2006-2010,2,Asian,Hayward,6001,Alameda,Bay Area,3398,46384,7.3
2006-2010,4,Latino,Hayward,6001,Alameda,Bay Area,6774,56973,11.9
2006-2010,7,Multiple,Hayward,6001,Alameda,Bay Area,755,5109,14.8
2006-2010,5,NHOPI,Hayward,6001,Alameda,Bay Area,282,2659,10.6
2006-2010,8,Other,Hayward,6001,Alameda,Bay Area,23,736,3.1
2006-2010,9,Total,Hayward,6001,Alameda,Bay Area,19227,190330,10.1
2006-2010,6,White,Hayward,6001,Alameda,Bay Area,4638,56761,8.2
2006-2010,1,AIAN,Livermore-Pleasanton,6001,Alameda,Bay Area,38,287,13.2
2006-2010,3,AfricanAm,Livermore-Pleasanton,6001,Alameda,Bay Area,337,2713,12.4
2006-2010,2,Asian,Livermore-Pleasanton,6001,Alameda,Bay Area,946,16646,5.7
2006-2010,4,Latino,Livermore-Pleasanton,6001,Alameda,Bay Area,1263,14940,8.5
2006-2010,7,Multiple,Livermore-Pleasanton,6001,Alameda,Bay Area,238,1699,14
2006-2010,5,NHOPI,Livermore-Pleasanton,6001,Alameda,Bay Area,253,4524,10
2006-2010,8,Other,Livermore-Pleasanton,6001,Alameda,Bay Area,4521,4251,10
2006-2010,9,Total,Livermore-Pleasanton,6002,Marin,Bay Area,6764,103055,6.6
2006-2010,6,White,Livermore-Pleasanton,6001,Alameda,Bay Area,3916,65958,5.9
2006-2010,1,AIAN,Oakland,6001,Marin,Bay Area,108,620,17.4
2006-2010,3,AfricanAm,Oakland,6001,Alameda,Bay Area,9248,52450,17.6
2006-2010,2,Asian,Oakland,6001,Marin,Bay Area,2589,33664,7.7
2006-2010,4,Latino,Oakland,6001,Alameda,Bay Area,4873,48166,10.1
2006-2010,7,Multiple,Oakland,6001,Marin,Bay Area,728,6013,12.1
2006-2010,5,NHOPI,Oakland,6001,Alameda,Bay Area,89,706,12.6
2006-2010,8,Other,Oakland,6001,Alameda,Bay Area,211,1436,14.7
2006-2010,9,Total,Oakland,6002,Marin,Bay Area,21346,215609,9.9
2006-2010,6,White,Oakland,6001,Alameda,Bay Area,3500,72554,4.8
